Supporting Information,,,,,,
Prediction of Energetic Material Properties from Electronic Structure using 3D Convolutional Neural Networks,,,,,,
Alex D. Casey,,"School of Mechanical Engineering, Purdue University, West Lafayette, Indiana 47907, USA",alex.casey.13@gmail.com,,,
CCN1N=NC(N=C(OC)N2N=NC(O)=N2)=N1,-877.1589721,5.09673268,5.2759,1.534,72.395,test
CC(=NO)C1=NC(=N)ON=C1OC(=O)C=O,-865.3096937,3.99602346,4.48,1.632,-48.528,train
CC1=NOC(=C1NCC1=NNN=C1O)[N+]([O-])=O,-900.7799964,3.876020304,7.9334,1.66,10.324,test
CCNC(=O)C(=N)NC1=C(NC(=O)O1)[N+]([O-])=O,-921.9820768,3.77424892,3.5828,1.587,-128.297,train
CC(CO)(OC(=O)C(=O)C(=NO)C(N)=O)C=O,-946.869473,4.195756604,5.9855,1.629,-239.945,train
CC(=O)N1C2=C(NN=N2)C(=O)OC(C#N)C1=O,-882.4530872,5.193878092,1.4842,1.662,-56.483,test
CC1=NOC(=O)C(=N)N1C(=O)NC1=NNN=C1,-879.8325117,4.404469576,2.9306,1.627,-3.01,test
CC(CC(N)=O)(OC=N)C1=NNN=C1[N+]([O-])=O,-902.041251,4.014799464,4.5468,1.629,-35.383,train
CC1(COC(COC=O)(O1)C(O)=O)C=NO,-892.7397468,6.001246264,7.2074,1.601,-264.941,train
CC(O)(C=O)C(=O)N(C=O)C(=N)C(=O)C(O)=O,-945.7158739,4.189770052,2.3926,1.648,-254.643,train
CC(=O)C(C(=O)C#N)C(=O)C(=O)N1N=NN=N1,-898.3936902,4.507873656,5.1712,1.603,18.112,train
CC1(O)C(=O)C(=O)OC(CO)C(=O)C(=O)C1=O,-949.4856093,3.823774032,4.0188,1.656,-279.971,test
CC(=O)C(=N)N(C=O)C1=C(OC=O)ON=C1O,-924.5821894,5.354698648,2.955,1.656,-156.728,train
CC(CN)OC1=NC(=NC(=O)C(N)=N1)[N+]([O-])=O,-902.0674666,3.833298092,7.061,1.562,-55.083,train
CC1=NOC2=NC(OC3=NOC(=O)N=C3)=CN12,-882.36327,3.81370574,9.8423,1.694,4.283,test
CC1=C2C(N)=C(C(=C2C=NO1)[N+]([O-])=O)[N+]([O-])=O,-903.3194094,3.418321192,9.0451,1.732,18.663,test
CC1=C(O)NC(OC(=O)CO)=NC(=O)N=CO1,-925.8084261,4.870060052,3.2254,1.602,-180.946,train
CC1N(C=O)C(=O)C(=O)OC1(CO)OC(N)=O,-946.9886583,5.00285266,3.4016,1.652,-310.475,train
CC1=C(O)OC(OC(=N)OCC(O)=O)=N1,-832.3926787,6.17975436,1.067,1.628,-224.322,train
CC(=O)OC1=C(N)OC(=O)N=C(O)NC(O)=C1,-925.8430744,3.52662336,1.6125,1.64,-202.758,train
CC(O)C1=C(N=NO1)N(C=O)C1=NOC=N1,-845.5020075,5.8028737,5.5142,1.601,-37.907,test
CC1(O)COC2=NN(N=C12)C1=NNN=NC1=O,-879.724765,4.18786524,3.1764,1.685,55.181,test
CC(CO)C(O)(C(O)=O)C1=NC2=NON=C2O1,-925.7508902,5.184354032,7.1704,1.649,-145.173,train
CC(=O)OC1=NC(=NN1C1=C(N)N=NO1)C#N,-878.5866942,4.1293603,3.4245,1.615,26.677,test
CC12OC(=O)C(O)(C3=C(ON=N3)C1O)C(=O)O2,-944.4566441,5.69810904,5.0419,1.8,-212.765,test
CC12CC(=O)OC(OC3=NON=N3)C(CO1)O2,-925.750892,5.257553236,5.1048,1.615,-147.323,test
CC1N=COC2=NC(OC(=O)NCC1=O)=NO2,-904.7142995,5.322044728,6.4646,1.641,-110.252,test
CC(O)C(=N)NC(=NC1=NNC(=N)O1)C(O)=O,-902.1429549,3.473016508,3.3552,1.585,-100.766,train
CC1=CN=COC(O)=NC(=C1[N+]([O-])=O)[N+]([O-])=O,-940.4285038,4.203920084,6.8005,1.706,-25.596,train
CC(N=C1NC(=O)COC(=O)NC1=O)C(O)=O,-925.8950739,5.218912764,5.0044,1.663,-244.12,test
CC(=O)NC(=O)C(=O)N1C=C(O)C(=N)NC1=O,-904.8414253,4.652367252,4.8739,1.645,-192.67,train
CC1CNC(=O)OC2=C(CO1)C(=NO2)[N+]([O-])=O,-925.7049112,4.41916384,8.1492,1.625,-118.638,test
CCNC(=O)C1=NNC(O1)=NC1=NNC(=O)O1,-900.9604886,4.267867344,8.8153,1.641,-103.264,test
CC1=NC(=C(OC(=O)C=O)O1)C1=NC(O)=NO1,-923.3863696,3.776425848,1.9318,1.67,-151.423,test
CC1(OC2=C(OC1OC(=N)C#N)N=NO2)C=O,-903.4277619,4.439300424,2.0327,1.608,-50.539,train
CC1=C2OC(OC(=N)NC2=NN1)C1=NON=N1,-879.7583807,3.593019664,4.6948,1.625,40.034,test
CCC(CN=C1OC(=O)N=C(O)C(=O)O1)=NO,-925.7959646,4.682844244,4.4998,1.617,-173.119,test
CC(O)(COC=O)C1OC(=O)OC1OC(N)=N,-948.1750208,6.497313732,6.5426,1.621,-312.517,train
CC1=C(O)NC(=N1)C1OC(=O)OC2=NON=C12,-903.4873775,4.466512024,6.7401,1.715,-87.162,test
CC1(CC(N2N=NN=N2)C(=N)OC(=O)O1)C#N,-879.7664048,6.589561056,5.6043,1.6,31.364,test
CC(C#N)(N1N=NC(O)=C1O)C(=O)COC=O,-904.7050577,4.579984396,3.1324,1.592,-109.785,train
CC1(OC(C#N)C(=N)OC(=O)O1)C(=NO)C#N,-903.4481949,5.736749512,3.4387,1.621,-68.738,train
CC(=O)OC1=C(N)C(=N)C(=C(N1)C=O)[N+]([O-])=O,-904.6902334,2.6259194,6.5618,1.616,-93.127,train
CC(O)(C(N=C1ON=NOC1=O)C#N)C(N)=O,-920.6843843,4.089087132,4.4161,1.637,-63.485,test
CC(=NO)C1=C(NC=O)ON=C1O,-697.9193824,4.840671524,3.2666,1.595,-85.313,train
CC(C(C=O)=NO)C1=NOC(O)=C(O)C1=NO,-925.6691686,3.32933926,2.7178,1.625,-92.975,train
CCN=C1ON=NN2C(O)=NC(=O)N=C12,-786.3116314,4.709783728,4.015,1.691,13.995,test
CCCN(C(=O)CO)C(=O)N1N=NC(=O)N=N1,-902.0481536,3.994390764,2.6615,1.521,-39.195,train
CC(=O)OCC(=O)C1=NOC2=NC=NC(=O)N12,-903.5420052,5.034962348,2.4294,1.631,-117.35,train
CC(=O)NC1=NNC(C=N1)=NC1=NON=C1O,-879.7962375,3.445260676,2.0873,1.615,16.883,test
CC1(OC2=C(NN=N2)C(O)(CO)C(=O)O1)C=O,-925.7985177,4.75658768,2.7965,1.665,-174.89,test
CC(C(O)=O)C1=NC2=C(N=NO2)C(=O)C(O)=N1,-903.5203339,3.9320762,3.5139,1.702,-108.256,test
CC1(OCC2=C(ON=C2O)O1)C1=C(O)N=NO1,-924.5177627,4.874686024,0.3769,1.692,-115.67,test
CCOC1=NC(N2N=NN=C2O)=C(O)N1,-787.5865449,5.186803076,8.6567,1.633,-36.175,train
CN1C2=C(C=C(O)N2C(=N)NC1=O)[N+]([O-])=O,-845.523463,3.82867212,4.2889,1.703,-51.488,test
CC1=C(C(=O)C2=C(O)N=CN=C(O)N12)[N+]([O-])=O,-903.4501498,3.50621466,9.3433,1.799,-64.944,test
CC1=C(N)N=C(OC(=N)OC(=O)N1)[N+]([O-])=O,-882.5779363,3.04905978,7.5454,1.68,-64.96,train
CCC1N=C(OC(=O)C1=O)C(O)C1=NON=N1,-904.6726372,4.496989016,4.162,1.561,-86.089,test
CC(=O)C(O)(C#C)C(=O)C(=O)NC1=NON=N1,-903.4010954,4.025411988,3.1073,1.59,-37.902,train
CC1=C(C(C)=C(OC(=O)C1=O)[N+]([O-])=O)[N+]([O-])=O,-944.2695009,4.243921136,3.3399,1.647,-89.011,train
CC1=C(O)C(=NC(=N)O1)C1=NOC(=O)O1,-810.0558351,2.923614304,3.3953,1.685,-115.261,test
CC(O)C1=NC(=O)N=CN=C(O)OC=NC1=O,-904.7332348,4.564201668,6.7383,1.668,-126.216,test
CC1(OC(=O)N2C3=NON=C3CN=C2O1)C#N,-882.3977122,5.795798684,5.0648,1.661,-20.833,test
CC(N=C1ON=NO1)C1C(OC(=N)C1=O)C=O,-904.6396139,4.942715024,2.7785,1.571,-65.628,test
CC1OC2C(OC2=O)C(N2N=NN=N2)C1=NO,-900.7921034,6.10356188,2.3011,1.632,2.799,test
CC1OC(=O)C2OC(OCC(O)=O)C1OC2=O,-950.7703182,6.198258248,5.7859,1.661,-343.046,test
CC(CN1N=NN=N1)OC(=O)C(=O)OCCO,-923.1725722,5.503818216,5.949,1.489,-128.268,train
CC(O)C(OC=O)C1=C(N=NNC1=O)[N+]([O-])=O,-941.7518435,4.535901604,1.8148,1.62,-109.832,train
CC1=NON=C1C(O)C1=NOC=NC1=O,-790.1044814,5.04911238,2.9667,1.597,-14.977,test
CC1OCOC(=O)C2=NC(=O)N=C(NC1=N)O2,-904.7577171,4.780533888,8.2523,1.666,-141.056,test
CC(=O)OC1=C2N3N=NC=C3OC2=NOC1=O,-902.2457119,4.333719416,2.527,1.704,-49.999,test
CC(=O)CN=C1NC2=C(ON=N2)C(=N1)[N+]([O-])=O,-899.5613716,2.75109276,4.3723,1.621,33.834,test
CC(=O)C1OC(=O)OC2=C1OC(C)=C2[N+]([O-])=O,-928.3552304,4.345964636,8.8618,1.643,-181.015,test
CC(O)COC1=NC(=O)C(=O)OC(OC=O)=N1,-945.7057888,5.052377772,3.7702,1.614,-251.925,train
CC(=O)OCC1OC(=O)NC1C1=C(O)ON=N1,-925.8686878,4.587603644,3.9323,1.604,-229.985,test
CC1OC2=C(OC1=O)N(C(N)=N)C(=O)N=C2O,-904.7989969,4.625427768,4.2236,1.659,-166.304,test
CN1C2=NC(=N)NN=C2OC(=O)C(=O)NC1=O,-899.7196046,3.650164024,2.5564,1.687,-67.712,test
CC(N)=NC1=C(N=C2ON=NO2)C(=N)ON=C1,-879.7056975,3.581862908,5.1656,1.599,74.8,test
CC1(N=C(OC1OC=O)C=O)C1=NNC(=O)O1,-924.6304652,4.591685384,2.596,1.652,-190.541,test
CCN1N=C(C(=O)C(OC(C)=O)=C1O)[N+]([O-])=O,-925.7443377,4.424878276,8.6781,1.608,-144.763,train
CC1=C(N2C(=N1)C(=O)N=C(O)N=C2O)C(O)=O,-903.6069067,4.930197688,4.7895,1.779,-164.744,test
CC(=O)C(=O)OC1=C(O)C(=N)OC(=O)O1,-851.0427581,4.06269188,2.5874,1.686,-251.033,train
CC(N)(CC1=NON=NC1=O)C1=NOC(=N)O1,-900.768941,3.950580088,1.5385,1.565,22.336,test
CC1=NC2=NC(OCO2)=NC=NC(=O)O1,-790.2218824,4.870332168,3.8384,1.65,-88.566,test
CC(=N)NC1=NON=C(NC(=O)C(N)=O)C1=O,-900.8956284,3.889081872,0.8143,1.589,-61.838,train
CC(=O)C(=O)C(O)(C=O)C(O)C1=NNC(O)=N1,-925.8259837,4.047453384,5.5644,1.64,-196.026,train
CC1=C(OC(=O)C#N)OC(=N1)N1C=C(O)N=N1,-882.4152507,3.852618328,3.6709,1.601,-30.894,train
CC(O)(C(=O)C(OC=O)C#N)C1=C(O)ON=N1,-924.5557684,5.4083055,4.5191,1.618,-144.8,train
CC1=C(OC(O)=CC(O)=C(N)NC1=O)[N+]([O-])=O,-925.7188936,3.009330844,3.8326,1.641,-122.957,test
CC1=C(OC(=O)C(N)=O)C(=O)N=C(N)N=C1O,-904.8160735,4.616992172,7.8122,1.695,-181.305,train
CC1=NC2=NC(O)=C(OC2=O)OCOC(=O)N1,-924.5979959,3.504309848,5.4963,1.736,-168.069,test
CC1OC2(OC(=O)C1N1C(=O)NN=C21)C(N)=O,-904.796752,5.808043904,6.2557,1.707,-169.308,test
CN1C2=C3OC(=N)N=C3C(O)=C2ON=NC1=O,-882.4609306,2.581564492,0.7623,1.615,-65.37,test
CC1=NC(=O)C(=O)C2=NOC(O)=NN12,-750.8264024,3.202261088,7.7016,1.779,-37.846,test
CCOC1=C2C(=O)NC(C(O)=O)=C2OC(=O)O1,-928.4964545,3.747853668,2.8829,1.699,-272.206,test
CC(=O)C1=C2OC(O)=NC(=N)N2N=N1,-731.0207812,5.470347948,3.9868,1.707,-29.917,test
CC(=O)C1OC(OC2=C1OC(=O)OC2=N)C=O,-928.4238181,4.888836056,3.9441,1.666,-224.909,test
CC(N)=NCC1=C(OC(OC(N)=N)=N1)[N+]([O-])=O,-902.0537335,3.763636396,1.3614,1.548,-45.519,train
CC(O)(C(O)=O)C1=C(O)C(=O)C(N)=NC(=O)O1,-945.7380009,3.834386556,3.4266,1.728,-271.537,train
CC1=NC2=C(NC(=O)C(O1)C(O)=O)ON=C2O,-924.6142139,4.898360116,1.7095,1.706,-180.638,test
CC1=C2ON=C(N2C(=N)C(CO)=C1O)[N+]([O-])=O,-904.6004632,2.162777968,4.049,1.628,-36.184,test
CC1=NON=C1N=C1ON=C(OC(=O)C#N)O1,-918.2319492,3.806630724,3.774,1.695,-9.068,test
CC1C(COC(=O)N1C=O)OC1=NOC(=N)O1,-925.8226778,6.200979408,5.2548,1.63,-193.885,test
CC(=O)C1=NC(=NC(=O)C(=N)C(=O)O1)[N+]([O-])=O,-939.3221984,4.15793248,3.6722,1.679,-76.089,test
CC1=C(C(=NCCC=O)N=NOC1=O)[N+]([O-])=O,-904.5586633,3.963641656,2.9789,1.53,-13.899,train
CC(NC(=O)C(=O)C=O)C(O)C1=NC(O)=NO1,-925.8112233,3.463764564,4.9178,1.582,-188.282,train
CC1OCC(=O)C(=O)OC2=C(ON=C2)OC1=O,-928.3877638,4.928837108,4.1451,1.639,-199.511,test
CC(O)C(O)C(=O)N1C(=O)ON=C1C(O)C#N,-925.8048575,5.631984852,4.6812,1.594,-185.861,train
CC1=C(O)C(N)=NC=CN=C(OC1=O)[N+]([O-])=O,-904.6184128,3.53614742,7.3481,1.628,-51.798,test
CC1=NC(N)=C(N)OC(=O)OC(=N)O1,-753.3176085,4.517397716,4.2317,1.574,-106.914,train
CC1=C(OC(=N)C(=O)O1)C(=O)C1=NOC(=N)O1,-923.3491146,4.052895704,2.6587,1.684,-127.216,test
CC1=C(O)N=COC2=C(OC1=O)N=NN2C=O,-903.4777067,4.033847584,7.2723,1.722,-79.934,test
CC1OC(=O)C2OC1OC(=O)OCOC2=O,-911.4565693,6.391732724,2.1159,1.701,-330.684,test
CC1(OCC(=O)O1)C(C(O)=O)C1=NC=NO1,-870.4929118,6.407515452,2.644,1.627,-212.589,test
CC(=O)C(=N)NC1=C2OC(=O)ON=C2N=C1O,-903.5095312,3.626489932,5.0101,1.669,-99.942,test
CC1=C(C(=O)C(=N)C(=O)NC=NC1=O)[N+]([O-])=O,-903.4322251,3.970716672,6.1736,1.691,-50.35,test
CC1OC(=O)OC2(CO)OC1C(=O)C2=O,-836.1923558,3.661592896,3.2718,1.647,-267.315,test
CC1=NC(=O)C=C(OC(C=O)=CO1)[N+]([O-])=O,-869.1234109,4.566922828,6.3704,1.627,-95.578,train
CC(O)C1=NC(=O)OC(=N1)C1=NC(=N)N=NO1,-899.7513868,4.018881204,4.9359,1.567,-101.735,test
CC12OC(=O)CC1(OC=O)OC(=O)OC2C#N,-928.4778492,7.135697868,5.7347,1.674,-264.331,test
CCC1=C(O)N=C(OC(O)=NC(=N)O1)C(O)=O,-925.8292955,3.1361369,3.6795,1.635,-190.694,test
CC1=NC(=O)OC2=C(CC(O)=O)N=NN2C1=O,-903.5392661,4.007996564,2.4911,1.649,-120.134,test
CC(N)CN1N=NN2N=NC(=C2C1=O)[N+]([O-])=O,-896.9173871,4.05044666,7.3665,1.595,92.879,test
CC(=N)NC(CC=O)=NC1=NC(=NO1)[N+]([O-])=O,-900.8130163,4.314943412,6.7013,1.551,-7.373,train
CCOC1=NC(=O)OC2=C(OC=N2)OC(=N)O1,-924.5974692,5.29537736,3.0114,1.638,-163.818,test
CC1=C(O)C(OC(=O)O1)=NC1=C(O)C(O)=NO1,-944.4575901,3.937246404,1.0924,1.749,-209.951,test
CC(O)CC1OC2=NON=C2N(C=O)C(=O)O1,-925.7803668,5.976211592,6.3863,1.608,-165.526,test
CC12OC(OC1=O)C(OC=O)(OC2C=O)C#N,-928.42938,5.88178734,4.0412,1.653,-232.296,train
CC(O)(C=NO)C(=O)C(O)COC(=O)C=NO,-948.0234093,4.858359064,1.8053,1.533,-213.334,train
CC1N=C(OC(=O)NC(=O)OC(=N)C1O)C=O,-925.8496539,5.041221016,3.5146,1.614,-208.175,test
CC1=C(O)OC(OC(N)=O)=C(C(=O)C=O)C1=O,-928.4739519,4.362835828,5.3937,1.721,-260.593,train
CC1=NNN=C1N=C(N)OC1=NOC(O)=C1O,-900.8859402,5.00829498,5.1689,1.684,-52.385,test
CC(=O)N(C=N)C(=O)NC1=COC(=O)C(=O)N1,-904.8179924,4.449368716,8.3988,1.658,-177.168,train
CC1(N=COC1=O)C1OC(=N)OCOC(=O)O1,-945.7097811,6.60425532,2.7467,1.663,-248.804,test
CC(=O)C1=C(C(O)=C(N)C(=N1)[N+]([O-])=O)[N+]([O-])=O,-940.5173793,3.40417116,3.8921,1.72,-80.6,train
CC(O)(COC=O)C1=C(OC(O)=C1O)[N+]([O-])=O,-966.6730861,3.829760584,7.7589,1.736,-242.804,train
CC(C(N)=O)C1(OC(N)=N)OC(=O)C(=O)C1=O,-925.8750282,3.781596052,9.1813,1.715,-232.239,train
CC1OC2=C(OCOCC(=O)O1)C(=O)ON=N2,-945.6296106,4.461069704,4.3453,1.637,-196.255,test
CC1=C2N(N=N1)C(=N)N1C2=C(O)N=NOC1=O,-878.5448006,3.327706564,6.4948,1.725,57.93,test
CC1OC(OCC1(OC=O)C=O)C1=NON=N1,-925.734496,4.87359756,2.883,1.562,-134.189,test
CC(CO)(N1N=NN=N1)C(O)(CO)C(=O)C=O,-923.1141511,4.223784552,5.6898,1.597,-89.544,train
CC(OC1=NNC(=O)O1)C1=C(O)C(CO)=NO1,-925.7922983,5.442047884,6.5716,1.665,-175.999,test
CC1(O)C(OC(=N)OCOC1=O)C(=O)C(O)=O,-966.7879091,4.6191691,2.3458,1.661,-309.522,train
CC(=O)C1(COC1=O)OC1=NC(O)=NN1,-811.2911499,5.260546512,4.4764,1.632,-149.989,test
CC(=O)C(O)(C(OC1=NNN=N1)C=O)C(N)=O,-921.9833403,5.41238724,2.4016,1.627,-127.783,train
CC(=O)C1=CC(O)=NN1C1=NOC(=O)C(=O)N1,-903.5153255,4.811827228,7.647,1.687,-104.803,test
CC1(OC(=O)NC(=O)O1)C1(CCO1)C(O)=O,-891.6143372,6.764259528,2.9749,1.658,-303.84,test
CC1(O)COCC(=O)OC1OC(=O)C(=O)C=O,-950.7252979,3.425668324,3.2634,1.592,-310.394,train
CC1OC(=O)C(NC1=N)C(=O)NC(=O)C(O)=O,-925.9089342,3.94976374,3.4778,1.619,-249.398,test
CC(OC(=O)NC(=N)C#N)=NC1=NC(O)=NN1,-879.8706509,4.787064672,4.7465,1.591,-35.387,train
CC(=NO)C1OC(CO)(OC=O)C(=O)C1O,-892.712624,5.478783544,3.3155,1.568,-246.876,train
CC(NC1=NON=C1)C1=C(C(N)=NO1)[N+]([O-])=O,-900.7472293,3.84772024,3.4886,1.595,36.103,test
CC(=N)OC(=O)N1N=NN(C(C#N)C#N)C1=O,-878.5819186,5.721511016,3.673,1.561,25.681,train
CCCN=C1ON=C(OC2=NC(=O)ON=C2)O1,-904.6502304,3.719281488,4.0612,1.591,-71.791,test
CC(=O)OC1C(=O)OCC(O)C1(OC=O)C=O,-950.7655874,6.186285144,3.2171,1.601,-334.508,train
CN1C2=NC(=O)OC2=NC=C1N=C1OC=NO1,-882.4483774,3.920647328,11.356,1.774,-51.101,test
CC1=C(O)NC(=O)C2=C(N=C(O)O1)C(O)=NN2,-904.7441352,4.235213424,6.9628,1.724,-129.232,test
CC1=C(N=C(COC2=CNC(=O)O2)N1)[N+]([O-])=O,-904.6941813,4.289636624,6.4728,1.66,-101.975,test
CC(=NO)C(=O)OC1=NC(=O)N=C(O)C(=O)O1,-960.4999378,5.2518388,4.3844,1.754,-203.406,train
CCOC(=O)C1=C(O)C(=NN1)N1N=NN=N1,-841.6922168,5.204762732,8.1096,1.596,8.929,test
CC1=NC(=C(O)NC(=O)N=C(N)N=C1)[N+]([O-])=O,-900.837115,3.448526068,6.6457,1.68,-20.23,test
CC(=O)C(=N)N(CC(O)=O)C1=NC(O)=C(O)O1,-925.8452671,3.506758892,3.97,1.664,-209.221,train
CC1=C(N2C(=N)OC(=O)C2=NO1)C(=O)NC=O,-903.5257102,3.469479,1.818,1.689,-108.777,test
CC1OC(=N)NC(=O)C(=O)OC(=N)C1(O)C=O,-925.8347505,5.7552534,3.2512,1.613,-197.957,test
CC(=O)C1CC(=O)C(=O)N2N=NC(=C12)[N+]([O-])=O,-903.4319161,4.4014763,5.8056,1.659,-51.445,test
CC1=NN(N=C1)C1=C(NN=C(O)C1=N)[N+]([O-])=O,-879.7195725,2.969057676,3.0273,1.596,69.178,test
CC1=NOC(O)=C1N1N=COC1=O,-696.7394963,5.305989884,5.5771,1.681,-86.594,train
CC(=O)C(O)C(=O)OC1=C(NC(=O)N1)[N+]([O-])=O,-961.6876948,3.840373108,2.3636,1.694,-203.398,train
CC1=NC(=O)NC(=O)C(OC=O)=NC(N)=CO1,-904.7309398,3.63410918,8.9861,1.651,-122.842,train
CC1OC2=NC(COCOC(=N)C(=O)O1)=NO2,-925.8008689,5.694571532,2.1981,1.584,-171.482,test
CC1OC(=O)NC(=N)C11OC(=O)N(C=N)C1=O,-904.8297236,6.123154232,2.2328,1.642,-188.065,test
CC(NC1=C(N)N=C(C(=N)N1)[N+]([O-])=O)C(O)=O,-902.0819334,3.3606326,7.9909,1.604,-62.691,train
CC(N)C1=C(C(N)=C(OC(N)=O)O1)[N+]([O-])=O,-867.8044908,3.389476896,6.6422,1.612,-128.483,train
CC(O)(C(=O)C=O)C1=NOC(=O)OC(=N)C1=O,-944.4014856,3.968267628,5.1199,1.673,-172.326,train
CC1(O)C2N=C(OC(=O)NC1=O)C(=N)OC2=O,-924.6296911,5.186258844,2.6042,1.726,-188.957,test
CC(COC=O)(C(O)=O)C1=C(O)OC(=O)O1,-911.4688444,4.66814998,7.9415,1.732,-338.94,train
CC1=C(O)OC(OC2=C(N)N3N=NN=C3N2)=N1,-879.7831559,5.246940712,8.9203,1.748,19.228,test
CC(=O)C(=O)C1=C(O)C(O)=C2OC(=O)ON=C12,-927.1938722,3.497234832,5.9371,1.755,-196.492,test
CCC1(N)C(=O)OC2=C1OC(=N2)N1N=NN=N1,-879.7507947,4.437939844,5.5907,1.587,44.258,test
CC(=O)NC(=O)OC1OC(=O)NCC1(O)C#N,-925.8965642,6.599357232,3.3769,1.618,-247.963,test
CC1=C(OC(O)=NC(=O)C(=O)OC=C1)[N+]([O-])=O,-944.3619107,4.097794844,5.9695,1.714,-147.507,test
CC(O)(C(N)=O)C(=O)N(C=O)C1=COC(=O)N1,-925.9001743,4.318208804,5.7569,1.668,-243.08,train
CC1(OCC2=NC(=N)NN=N2)OC(=O)OC1=N,-900.9013122,4.281473144,2.2478,1.594,-63.554,test
CC(=O)N(C(N)=N)C1=CC(=O)N=C(O)C(=O)O1,-904.7787015,4.506513076,3.468,1.627,-154.65,train
CC1=COC(=O)C(=O)C2=NC(=O)N=C2OC1=O,-906.1217104,3.71710456,6.273,1.687,-138.167,test
CC(=O)C(NCC(O)=O)=NC1=NC=NOC1=O,-904.7492375,4.26133656,7.2061,1.622,-135.857,train
CC(OC(=O)C(O)=O)C1=NNC(=N)C(=O)C=N1,-904.7372556,3.41777696,1.4717,1.58,-124.961,test
CC1=NOC(CO)=C(C(=O)C1=N)[N+]([O-])=O,-811.1095011,4.33208672,3.221,1.575,-29.781,train
CC1=COC(=O)OC(=NC(=N)C(=O)O1)[N+]([O-])=O,-960.4003884,3.864319316,4.46,1.702,-133.486,test
CC(=O)OC1=NC(=O)C(=C(N)C(N)=C1)[N+]([O-])=O,-904.6814543,3.91574924,9.0278,1.684,-95.733,train
CC(NC(=O)N1N=NOC(=O)C1=N)C(O)C#N,-900.8626235,5.100270188,5.4011,1.578,-42.81,train
CC1=C(N=NN1C(=O)CN1C=CN=N1)[N+]([O-])=O,-879.7111003,4.437123496,3.5672,1.598,70.913,test
CC1=C(O)OC(=N)N=CN=C2NC(=O)N=NN12,-879.7927062,3.966634932,4.5073,1.664,18.403,test
CC(=NO)C1=C2OC=NN2C(=O)C(=O)N1,-790.1720552,3.915477124,7.5634,1.728,-62.053,test
CC(O)C1=NOC2=NN(C(=O)C=O)C(=O)C2=N1,-903.442515,3.026746268,3.089,1.629,-59.336,test
CC(NC1=C(O)OC(=N)O1)(C=O)C(O)C(O)=O,-946.8982551,4.370455076,5.5534,1.662,-255.096,train
CN1C2=C(OC(=N)O2)C(NC(=O)C1=O)C(O)=O,-924.6435424,5.004757472,2.9715,1.742,-202.989,test
CC(OC=O)C1=CNC(=O)C(=N)N=C1[N+]([O-])=O,-904.6640069,4.772642524,4.6623,1.594,-79.309,train
CC(C(=O)C1=CC(O)=C(O)O1)C1=NOC(=O)O1,-928.422053,4.107863136,4.9045,1.684,-225.08,test
CC1OC2=NC3=C(OC(=O)O3)C12C(O)=O,-813.8607951,4.521479456,6.5285,1.74,-162.88,test
CC(C#N)C(=O)OC1=C(N=NN1)[N+]([O-])=O,-806.1355544,5.43279594,2.8839,1.63,-5.691,train
CC(=O)N(C=O)C1=NC(=O)C(O)=C(O)C(=N)O1,-924.6372907,4.073848636,4.0276,1.663,-193.305,test
CC1=NOC(=O)N2C3=NNC(O)=C3C(=O)C2=N1,-882.4153228,4.119292008,5.5467,1.764,-29.951,test
CC1=NOC(OC(=O)C=O)=C1C1=C(O)NN=N1,-903.4834277,2.587278928,4.1185,1.689,-79.849,train
CC1=C(O)NC(=NC(O)=NC(C=O)=C1)[N+]([O-])=O,-904.6304219,2.754358152,0.9339,1.624,-53.789,train
CC(O)(C(N)=N)C(=O)N(C=O)C1=C(O)ON=N1,-921.9871897,4.883393736,5.0584,1.61,-125.306,train
CC(=O)OCC(=O)OC1=NOC(=O)C(=O)C=C1,-928.4028206,4.34161078,7.1487,1.59,-210.122,train
CC(=O)C(O)C(NC1=NC(O)=NC(=O)O1)C=O,-925.8881107,5.216191604,3.3322,1.616,-237.694,train
CC1OCC(=O)N(C1=N)C1=C(O)C(=O)ON=N1,-904.707699,4.388686848,3.7398,1.605,-109.684,test
CC(O)C(=O)C1=C(N)N=C(O1)N1N=COC1=O,-904.7777645,4.362291596,5.8468,1.662,-154.447,train
CC1=C(OC(N)=N1)C(=O)NC1=C(N)OC(=O)O1,-904.8164941,4.108407368,6.2375,1.692,-181.329,test
CC(=O)N1N=C(CC(O)=O)N=C1OC(=O)C=O,-924.6600676,4.725838572,3.3781,1.593,-207.672,train
CC(=O)C1=NC(=C(O)N=C1CO)[N+]([O-])=O,-811.2247531,4.437667728,1.6348,1.616,-105.905,train
CC(O)(C#N)C(=N)OC1=C(O)N=C(O)OC1=O,-924.6312119,5.293744664,4.8374,1.675,-197.177,train
CC1=C(N)OC(O)=NC(=O)C(=N)OC(=O)C=N1,-904.7238367,3.606625464,7.2823,1.68,-117.168,test
CC1=NOC(OC2=NNC(C=O)=N2)=N1,-731.008761,4.713865468,0.7144,1.597,-17.32,test
CC(=O)OC1=C(N)N=C(N=C1NC=O)[N+]([O-])=O,-920.7768149,4.613454664,7.9393,1.666,-118.328,train
CC1=NOC(=O)C2=NC(=C(OC=O)N12)[N+]([O-])=O,-939.3270872,5.059452788,7.6658,1.769,-78.675,train
CCC1(O)C2CC(=O)OC1(OC(=O)O2)C(O)=O,-950.7951467,6.690788208,6.6381,1.706,-355.785,test
